Governorate;Camp Name;household;men;women;boys;girls;individual;Camp Management;Shelter;NFIs;Water;Sanitation;Waste removal;Health;Food;Livelihood;Protection;Education;Geo
Anbar;Al Anbar (AAF19);207;348;392;288;348;1290;3. High;1. Low;4. Very high;3. High;3. High;0. No;2. Medium;2. Medium;2. Medium;2. Medium;3. High;33.1430584839659,43.8395836397025
Anbar;Amriyat Al-Fallujah Camp 20;175;98;105;200;98;463;3. High;1. Low;2. Medium;2. Medium;2. Medium;3. High;4. Very high;3. High;4. Very high;3. High;3. High;33.1403746331783,43.8429627250275
Anbar;Al-Simood / Ssumud (AAF23);80;62;76;60;62;280;3. High;1. Low;1. Low;4. Very high;2. Medium;2. Medium;4. Very high;2. Medium;2. Medium;2. Medium;2. Medium;33.1383644303931,43.8450913610035
Anbar;Amriyat Al-Fallujah Camp 31;210;238;300;248;238;900;3. High;2. Medium;4. Very high;3. High;1. Low;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;33.140172,43.854786
Anbar;Al-Hijra;367;433;389;460;433;1741;3. High;1. Low;2. Medium;2. Medium;2. Medium;0. No;2. Medium;1. Low;3. High;2. Medium;2. Medium;33.251064,43.577665
Anbar;Al Tahrer 1;205;210;201;272;210;983;3. High;1. Low;1. Low;0. No;2. Medium;0. No;2. Medium;1. Low;3. High;2. Medium;4. Very high;33.2497539221476,43.5850294491277
Anbar;Al Tahrer 2;200;219;214;262;219;954;3. High;1. Low;1. Low;1. Low;2. Medium;0. No;2. Medium;1. Low;2. Medium;2. Medium;3. High;33.2524700982013,43.5852117832484
Anbar;Fallujah camp 7 - HTC;317;306;310;480;306;1580;3. High;0. No;1. Low;2. Medium;2. Medium;0. No;2. Medium;1. Low;2. Medium;2. Medium;3. High;33.249555,43.590561
Baghdad;Shooting Camp / Al Ahel;167;231;230;197;231;864;3. High;1. Low;1. Low;2. Medium;1. Low;3. High;2. Medium;1. Low;2. Medium;2. Medium;2. Medium;33.48413056,44.18941667
Salah al-Din;Basateen Al Sheuokh;412;427;446;607;427;2131;3. High;2. Medium;0. No;2. Medium;0. No;3. High;1. Low;2. Medium;2. Medium;2. Medium;1. Low;35.5238283,43.234783
Anbar;Al-Khalidiya Semi-perminant camp;25;10;6;11;10;32;4. Very high;2. Medium;4. Very high;2. Medium;2. Medium;2. Medium;0. No;2. Medium;4. Very high;2. Medium;2. Medium;33.377581,43.544117
Anbar;Al-Khalidiya camp 6 (AK4);1;1;0;0;1;2;4. Very high;2. Medium;4. Very high;4. Very high;2. Medium;2. Medium;2. Medium;3. High;4. Very high;3. High;3. High;33.352077,43.512334
Anbar;Al-Khalidiya camp 10 (AK10);1;2;0;0;2;2;4. Very high;2. Medium;4. Very high;4. Very high;2. Medium;2. Medium;2. Medium;2. Medium;4. Very high;3. High;3. High;33.348634,43.518401
Anbar;Al-Khalidiya camp 13 (AK13);0;1;0;0;1;2;4. Very high;2. Medium;4. Very high;4. Very high;2. Medium;2. Medium;2. Medium;3. High;4. Very high;3. High;3. High;33.34607,43.503163
Anbar;Al-Khalidiya camp 1 Markazi (AK-M1);1;2;0;0;2;2;4. Very high;2. Medium;4. Very high;4. Very high;2. Medium;2. Medium;1. Low;3. High;4. Very high;3. High;4. Very high;33.350714,43.548811
